Unnamed: 0,model,acc,recall,f1
0,rf,0.9098072901105468,0.5687540463548227,0.6130769862338092
1,lgbm,0.938527039139528,0.6885192487382122,0.7284065240995706
2,lstm,0.7067149686286226,0.6988875771537755,0.6779871074790279
3,cat,0.9496003884075293,0.7594295000397295,0.7940224972702218
